file_path,attribute_label
deep_fashion/test/00001.jpg,4 9 13
deep_fashion/test/00002.jpg,1
deep_fashion/test/00003.jpg,10
deep_fashion/test/00004.jpg,1
deep_fashion/test/00005.jpg,7
deep_fashion/test/00006.jpg,1
deep_fashion/test/00007.jpg,0 7
deep_fashion/test/00008.jpg,1 3 5
deep_fashion/test/00009.jpg,0 9
deep_fashion/test/00010.jpg,7
deep_fashion/test/00011.jpg,0 2
deep_fashion/test/00012.jpg,0 5
deep_fashion/test/00013.jpg,0
deep_fashion/test/00014.jpg,3 4 5 8
deep_fashion/test/00015.jpg,0
deep_fashion/test/00016.jpg,6 14
deep_fashion/test/00017.jpg,1 3
deep_fashion/test/00018.jpg,1 3
deep_fashion/test/00019.jpg,1 6 14
deep_fashion/test/00020.jpg,2 3 4 13
deep_fashion/test/00021.jpg,0 2 3 8
deep_fashion/test/00022.jpg,1
deep_fashion/test/00023.jpg,
deep_fashion/test/00024.jpg,1
deep_fashion/test/00025.jpg,3 8
deep_fashion/test/00026.jpg,1 3
deep_fashion/test/00027.jpg,11 12
deep_fashion/test/00028.jpg,6
deep_fashion/test/00029.jpg,0
deep_fashion/test/00030.jpg,0 2
deep_fashion/test/00031.jpg,0 2
deep_fashion/test/00032.jpg,1
deep_fashion/test/00033.jpg,4 13
deep_fashion/test/00034.jpg,0 10
deep_fashion/test/00035.jpg,5 7
deep_fashion/test/00036.jpg,0 2
deep_fashion/test/00037.jpg,10
deep_fashion/test/00038.jpg,0 2
deep_fashion/test/00039.jpg,1 3
deep_fashion/test/00040.jpg,9
deep_fashion/test/00041.jpg,1 10
deep_fashion/test/00042.jpg,0 2 5
deep_fashion/test/00043.jpg,0 2 3 5 8
deep_fashion/test/00044.jpg,6 14
deep_fashion/test/00045.jpg,4 10
deep_fashion/test/00046.jpg,11 12
deep_fashion/test/00047.jpg,1 6 14
deep_fashion/test/00048.jpg,0 2
deep_fashion/test/00049.jpg,5 7
deep_fashion/test/00050.jpg,0 1
deep_fashion/test/00051.jpg,2 4
deep_fashion/test/00052.jpg,0 2
deep_fashion/test/00053.jpg,1
deep_fashion/test/00054.jpg,1
deep_fashion/test/00055.jpg,0 10
deep_fashion/test/00056.jpg,0 9
deep_fashion/test/00057.jpg,8 11 12
deep_fashion/test/00058.jpg,11 12
deep_fashion/test/00059.jpg,3 8
deep_fashion/test/00060.jpg,0 2
deep_fashion/test/00061.jpg,4 13
deep_fashion/test/00062.jpg,3 5
deep_fashion/test/00063.jpg,0 2 7
deep_fashion/test/00064.jpg,13
deep_fashion/test/00065.jpg,0 3 5 8
deep_fashion/test/00066.jpg,9
deep_fashion/test/00067.jpg,0 2 5
deep_fashion/test/00068.jpg,0 2
deep_fashion/test/00069.jpg,3 5 8
deep_fashion/test/00070.jpg,2 4 13
deep_fashion/test/00071.jpg,0
deep_fashion/test/00072.jpg,1
deep_fashion/test/00073.jpg,0
deep_fashion/test/00074.jpg,2 4
deep_fashion/test/00075.jpg,5
deep_fashion/test/00076.jpg,11 12
deep_fashion/test/00077.jpg,1
deep_fashion/test/00078.jpg,11 12
deep_fashion/test/00079.jpg,7
deep_fashion/test/00080.jpg,0
deep_fashion/test/00081.jpg,9
deep_fashion/test/00082.jpg,0 1
deep_fashion/test/00083.jpg,4
deep_fashion/test/00084.jpg,0 2 3 5
deep_fashion/test/00085.jpg,0
deep_fashion/test/00086.jpg,1 3
deep_fashion/test/00087.jpg,1
deep_fashion/test/00088.jpg,2 4
deep_fashion/test/00089.jpg,0 2
deep_fashion/test/00090.jpg,4
deep_fashion/test/00091.jpg,0
deep_fashion/test/00092.jpg,3
deep_fashion/test/00093.jpg,11 12
deep_fashion/test/00094.jpg,11 12
deep_fashion/test/00095.jpg,1 6 14
deep_fashion/test/00096.jpg,0 2
deep_fashion/test/00097.jpg,6 10 14
deep_fashion/test/00098.jpg,7
deep_fashion/test/00099.jpg,0 2 4 13
deep_fashion/test/00100.jpg,
deep_fashion/test/00101.jpg,0 2
deep_fashion/test/00102.jpg,0
deep_fashion/test/00103.jpg,1 10
deep_fashion/test/00104.jpg,0 10
deep_fashion/test/00105.jpg,3
deep_fashion/test/00106.jpg,7 9
deep_fashion/test/00107.jpg,2 4 13
